scope,work_package,year,planned_hours
work_package,AP1,ALL,200
work_package,AP2,ALL,300
work_package,AP3,ALL,400
work_package,AP4,ALL,420
work_package,AP5,ALL,460
work_package,AP6,ALL,520
work_package,AP7,ALL,260
year,ALL,2026,640
year,ALL,2027,1920
work_package_year,AP1,2026,200
work_package_year,AP2,2026,300
work_package_year,AP3,2026,140
work_package_year,AP3,2027,260
work_package_year,AP4,2027,420
work_package_year,AP5,2027,460
work_package_year,AP6,2027,520
work_package_year,AP7,2027,260
category,BUFFER,ALL,0
category,HOLIDAY,ALL,0
total,ALL,ALL,2560
